	Step	Temp	Press	Volume	Density	PotEng	Enthalpy	
	0	300	-36568.982	224201.67	2.697852	-45599.631	-50193.472	
	100	300	-12209.662	217542.7	2.7804331	-45713.086	-46847.442	
	200	300	2679.7023	213995.36	2.8265235	-45729.896	-44848.516	
	300	300	2667.275	213996.7	2.8265059	-45730.13	-44850.407	
	400	300	2657.6591	213997.75	2.826492	-45730.308	-44851.868	
	500	300	2650.1594	213998.55	2.8264814	-45730.45	-44853.01	
	600	300	2658.3117	213994.63	2.8265332	-45730.776	-44852.254	
	700	300	2475.787	214032.42	2.8260342	-45731.365	-44877.163	
	800	300	2642.5184	213992.27	2.8265643	-45731.721	-44855.313	
	900	300	2565.0379	214009.08	2.8263424	-45731.853	-44865.765	
	1000	300	2612.8187	213990.83	2.8265834	-45733.106	-44860.666	
	1100	300	2613.2996	213990.64	2.826586	-45733.124	-44860.62	
	1200	300	2612.8106	213990.75	2.8265845	-45733.124	-44860.685	
	1300	300	2612.5014	213990.82	2.8265836	-45733.124	-44860.726	
	1400	300	2613.1457	213990.67	2.8265855	-45733.124	-44860.641	
	1500	300	2612.8071	213990.75	2.8265845	-45733.124	-44860.686	
	1600	300	2612.7833	213990.75	2.8265844	-45733.124	-44860.689	
	1700	300	2612.6792	213990.78	2.8265841	-45733.124	-44860.703	
	1800	300	2612.8506	213990.74	2.8265846	-45733.124	-44860.68	
	1900	300	2612.8544	213990.74	2.8265846	-45733.124	-44860.679	
	2000	300	2612.9508	213990.71	2.8265849	-45733.124	-44860.667	
	2100	300	2612.8854	213990.73	2.8265847	-45733.124	-44860.675	
	2200	300	2612.8094	213990.75	2.8265845	-45733.124	-44860.685	
	2300	300	2612.9806	213990.71	2.826585	-45733.124	-44860.663	
	2400	300	2612.8682	213990.73	2.8265847	-45733.124	-44860.678	
	2462	300	2612.8348	213990.74	2.8265846	-45733.124	-44860.682	
