	Step	Temp	Press	Volume	Density	PotEng	Enthalpy	
	0	0.01	-39062.734	224201.67	2.697852	-45599.631	-51065.885	
	100	0.01	-14779.748	217542.7	2.7804331	-45713.086	-47719.855	
	200	0.01	67.013048	213995.36	2.8265235	-45729.896	-45720.928	
	300	0.01	54.602108	213996.7	2.8265059	-45730.13	-45722.819	
	400	0.01	44.999008	213997.75	2.826492	-45730.308	-45724.28	
	500	0.01	37.509089	213998.55	2.8264814	-45730.45	-45725.423	
	600	0.01	45.61355	213994.63	2.8265332	-45730.776	-45724.666	
	700	0.01	-136.44983	214032.42	2.8260342	-45731.365	-45749.575	
	800	0.01	29.791492	213992.27	2.8265643	-45731.721	-45727.725	
	900	0.01	-47.483847	214009.08	2.8263424	-45731.853	-45738.178	
	1000	0.01	0.074160309	213990.83	2.8265834	-45733.106	-45733.078	
	1100	0.01	0.55264233	213990.64	2.826586	-45733.124	-45733.032	
	1200	0.01	0.0650627	213990.75	2.8265845	-45733.124	-45733.097	
	1300	0.01	-0.24326466	213990.82	2.8265836	-45733.124	-45733.139	
	1400	0.01	0.39922118	213990.67	2.8265855	-45733.124	-45733.053	
	1500	0.01	0.06159494	213990.75	2.8265845	-45733.124	-45733.098	
	1600	0.01	0.037781714	213990.75	2.8265844	-45733.124	-45733.101	
	1700	0.01	-0.06595134	213990.78	2.8265841	-45733.124	-45733.115	
	1800	0.01	0.10497244	213990.74	2.8265846	-45733.124	-45733.092	
	1900	0.01	0.1087467	213990.74	2.8265846	-45733.124	-45733.092	
	2000	0.01	0.20484418	213990.71	2.8265849	-45733.124	-45733.079	
	2100	0.01	0.13965602	213990.73	2.8265847	-45733.124	-45733.088	
	2200	0.01	0.063826789	213990.75	2.8265845	-45733.124	-45733.098	
	2300	0.01	0.23451752	213990.71	2.826585	-45733.124	-45733.075	
	2400	0.01	0.12249759	213990.73	2.8265847	-45733.124	-45733.09	
	2462	0.01	0.089196501	213990.74	2.8265846	-45733.124	-45733.094	

